YEAR,MONTH,PU_BOROUGH,AVG_TOTAL_AMOUNT,AVG_TIP_PCT,TRIPS
2021,5,EWR,80.94,0.1,125
2021,5,Manhattan,16.6,0.12,2306498
2021,5,Queens,44.98,0.09,167192
2021,5,Staten Island,76.42,0.02,436
2021,6,Bronx,32.75,0.01,21034
2021,6,Brooklyn,29.79,0.06,52025
2021,6,EWR,88.5,0.12,171
2021,6,Manhattan,17.04,0.12,2609345
2021,6,Queens,46.23,0.09,197105
2021,6,Staten Island,83.43,0.01,440
2021,7,Bronx,33.57,0.01,19904
2021,7,Brooklyn,30.29,0.06,50113
2021,7,EWR,92.19,0.12,250
2021,7,Manhattan,17.11,0.12,2564889
2021,7,Queens,47.14,0.09,227043
2021,7,Staten Island,81.35,0.02,442
2021,8,Bronx,34.31,0.01,18928
2021,8,Brooklyn,30.68,0.07,49954
2021,8,EWR,88.71,0.13,282
2021,8,Manhattan,17.15,0.12,2515141
2021,8,Queens,47.65,0.09,242577
2021,8,Staten Island,83.6,0.01,521
2021,9,Bronx,34.41,0.01,17975
2021,9,Brooklyn,30.7,0.07,51901
2021,9,EWR,93.66,0.11,301
2021,9,Manhattan,18.11,0.12,2697538
2021,9,Queens,47.47,0.1,244012
2021,9,Staten Island,79.91,0.01,583
2021,10,Bronx,34.37,0.01,17434
2021,10,Brooklyn,29.42,0.07,54477
2021,10,EWR,99.29,0.11,414
2021,10,Manhattan,17.7,0.12,3182576
2021,10,Queens,47.52,0.1,267118
2021,10,Staten Island,84.04,0.01,581
2021,11,Bronx,34.59,0.01,16028
2021,11,Brooklyn,29.29,0.07,51173
2021,11,EWR,96.28,0.12,546
2021,11,Manhattan,17.86,0.12,3171672
2021,11,Queens,48.7,0.1,289372
2021,11,Staten Island,81.86,0.01,565
2021,12,Bronx,34.49,0.01,13128
2021,12,Brooklyn,28.87,0.08,44346
2021,12,EWR,99.87,0.11,649
2021,12,Manhattan,17.89,0.12,2922062
2021,12,Queens,48.9,0.1,282036
2021,12,Staten Island,78.64,0.01,573
2022,1,Bronx,28.35,0.02,6857
2022,1,Brooklyn,24.65,0.09,24492
2022,1,EWR,87.84,0.11,348
2022,1,Manhattan,16.36,0.12,2260714
2022,1,Queens,46.92,0.1,203924
2022,1,Staten Island,75.13,0.03,145
2022,2,Bronx,28.34,0.02,6781
2022,2,Brooklyn,24.84,0.1,30827
2022,2,EWR,94.65,0.11,356
2022,2,Manhattan,16.94,0.12,2756749
2022,2,Queens,48.05,0.11,218375
2022,2,Staten Island,71.18,0.02,218
2022,3,Bronx,29.79,0.02,7117
2022,3,Brooklyn,25.99,0.1,36592
2022,3,EWR,99.15,0.11,641
2022,3,Manhattan,17.5,0.12,3305114
2022,3,Queens,49.92,0.11,309278
2022,3,Staten Island,65.38,0.02,249
2022,4,Bronx,29.47,0.03,6709
2022,4,Brooklyn,26.65,0.11,40754
2022,4,EWR,96.34,0.11,858
2022,4,Manhattan,18.0,0.12,3253235
2022,4,Queens,51.02,0.11,308665
2022,4,Staten Island,65.16,0.02,286
2022,5,Bronx,29.09,0.03,6582
2022,5,Brooklyn,27.57,0.11,43192
2022,5,EWR,101.64,0.11,1114
2022,5,Manhattan,18.63,0.12,3211818
2022,5,Queens,51.51,0.11,335390
2022,5,Staten Island,66.78,0.02,275
2022,6,Bronx,28.72,0.03,7065
2022,6,Brooklyn,27.78,0.11,41008
